Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","1992","1992","1000 ha","35055","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","1992","1992","1000 ha","146","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","1992","1992","1000 ha","186262","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","1993","1993","1000 ha","35040","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","1993","1993","1000 ha","145","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","1993","1993","1000 ha","186562","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","1994","1994","1000 ha","34683","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","1994","1994","1000 ha","145","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","1994","1994","1000 ha","186823","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","1995","1995","1000 ha","34716.5","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","1995","1995","1000 ha","144","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","1995","1995","1000 ha","182326","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","1996","1996","1000 ha","33007.6","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","1996","1996","1000 ha","140","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","1996","1996","1000 ha","182326","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","1997","1997","1000 ha","32551.8","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","1997","1997","1000 ha","140","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","1997","1997","1000 ha","183000","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","1998","1998","1000 ha","32154.8","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","1998","1998","1000 ha","140","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","1998","1998","1000 ha","183035","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","1999","1999","1000 ha","32056.3","I","Value imputed by a receiving agency",""
"RL","Land Use","108","Kazakhstan","5110","Area","6650","Permanent crops","1999","1999","1000 ha","139","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6655","Permanent meadows and pastures","1999","1999","1000 ha","182880","A","Official figure",""
"RL","Land Use","108","Kazakhstan","5110","Area","6621","Arable land","2000","2000","1000 ha","30159.3","I","Value imputed by a receiving agency",""
