Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","1992","1992","ha","22152350","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","1992","1992","kg/ha","1338.4","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","1992","1992","t","29649100","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","1993","1993","ha","21780600","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","1993","1993","kg/ha","988.5","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","1993","1993","t","21530700","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","1994","1994","ha","19539401","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","1994","1994","kg/ha","839.3","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","1994","1994","t","16399233.41","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","1995","1995","ha","16318400","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","1995","1995","kg/ha","580.7","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","1995","1995","t","9476320","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","1996","1996","ha","15515738","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","1996","1996","kg/ha","722.5","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","1996","1996","t","11210020","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","1997","1997","ha","14107406","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","1997","1997","kg/ha","876.1","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","1997","1997","t","12358980","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","1998","1998","ha","11370199","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","1998","1998","kg/ha","561.1","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","1998","1998","t","6380160","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","1999","1999","ha","10928040","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","1999","1999","kg/ha","1303.8","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","1999","1999","t","14248300","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2000","2000","ha","12243028","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2000","2000","kg/ha","942.5","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2000","2000","t","11539396","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2001","2001","ha","13040961","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2001","2001","kg/ha","1216.6","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2001","2001","t","15865279","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2002","2002","ha","13900900","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2002","2002","kg/ha","1145.7","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2002","2002","t","15926090","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2003","2003","ha","13677800","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2003","2003","kg/ha","1077.5","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2003","2003","t","14738300","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2004","2004","ha","13951832","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2004","2004","kg/ha","884.3","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2004","2004","t","12337671","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2005","2005","ha","13775200","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2005","2005","kg/ha","998.2","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2005","2005","t","13750260","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2006","2006","ha","14068409","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2006","2006","kg/ha","1170.9","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2006","2006","t","16472690","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2007","2007","ha","15134650","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2007","2007","kg/ha","1326.9","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2007","2007","t","20082040","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2008","2008","ha","15356610","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2008","2008","kg/ha","1011.3","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2008","2008","t","15530034","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2009","2009","ha","16570000","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2009","2009","kg/ha","1253.1","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2009","2009","t","20763550","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2010","2010","ha","15068400","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2010","2010","kg/ha","804.1","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2010","2010","t","12115916","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2011","2011","ha","15886231","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2011","2011","kg/ha","1688.6","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2011","2011","t","26825597.9","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2012","2012","ha","14784092","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2012","2012","kg/ha","865","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2012","2012","t","12788631.4","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2013","2013","ha","15586966","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2013","2013","kg/ha","1164.9","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2013","2013","t","18157040.27","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2014","2014","ha","14590623","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2014","2014","kg/ha","1172.7","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2014","2014","t","17110959.3","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2015","2015","ha","14542276","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2015","2015","kg/ha","1278.1","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2015","2015","t","18585931.63","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2016","2016","ha","15144296","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2016","2016","kg/ha","1347.7","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2016","2016","t","20410625","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2017","2017","ha","14854952","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2017","2017","kg/ha","1355","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5510","Production","1717","Cereals, primary","2017","2017","t","20129018","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5312","Area harvested","1717","Cereals, primary","2018","2018","ha","14784523","A","Official figure",""
"QCL","Crops and livestock products","108","Kazakhstan","5412","Yield","1717","Cereals, primary","2018","2018","kg/ha","1366","A","Official figure",""
